,buy_price,stop_loss,sell_target,Quantity
META,257.07501220703125,258.12221435546877,259.6457623291016,388.9915209630199
AAPL,175.3249969482422,173.7834017944336,177.0782469177246,570.3693240589137
MSFT,331.3599853515625,326.1930059814453,334.6735852050781,301.78658987416105
NVDA,389.239990234375,395.5966131591797,393.1323901367188,256.9109097443624
AMZN,121.6500015258789,119.21700149536133,122.8665015411377,822.0304048144772
