Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta
HSCL.ns,2023-06-05,0.0,0.38,131.7,133.25,127.55,131.7,103.8,131.7,81.0,Bullish,1,1
HCC.ns,2023-06-05,0.0,0.38,18.8,19.25,18.6,18.8,15.65,21.95,12.2,Bullish,1,1
HINDOILEXP.ns,2023-06-05,0.0,0.25,196.2,197.85,186.0,196.2,159.65,196.2,118.65,Bullish,1,1
HINDWAREAP.ns,2023-06-05,0.0,0.5,508.5,519.65,491.45,536.85,365.1,536.85,331.35,Bullish,1,1
ICRA.ns,2023-06-05,0.0,0.38,4899.95,5000.0,4868.0,4982.65,4695.8,5155.15,3844.25,Bullish,1,1
IOLCP.ns,2023-06-05,0.0,0.31,451.2,463.45,446.6,451.2,392.0,451.2,277.65,Bullish,1,1
ICIL.ns,2023-06-05,0.0,0.31,210.85,214.85,195.95,210.85,136.5,210.85,102.85,Bullish,1,1
INOXWIND.ns,2023-06-05,0.0,0.38,138.1,151.25,135.0,146.7,105.0,156.0,91.35,Bullish,1,1
ISGEC.ns,2023-06-05,0.0,0.25,610.05,622.5,606.0,616.45,475.95,616.45,422.5,Bullish,1,1
JTEKTINDIA.ns,2023-06-05,0.0,0.38,136.1,137.25,131.55,136.1,107.05,167.15,91.05,Bullish,1,1
JAICORPLTD.ns,2023-06-05,0.0,0.25,167.3,170.7,166.15,169.2,146.7,211.8,116.95,Bullish,1,1
J&KBANK.ns,2023-06-05,0.0,0.25,58.05,59.3,57.8,61.85,53.05,61.85,27.1,Bullish,1,1
JINDALSAW.ns,2023-06-05,0.0,0.25,236.95,253.0,235.0,247.05,155.2,247.05,77.8,Bullish,1,1
JWL.ns,2023-06-05,0.0,0.25,127.35,131.25,126.8,133.5,104.1,133.5,68.45,Bullish,1,1
KTKBANK.ns,2023-06-05,0.0,0.25,152.0,154.8,151.5,153.1,128.3,164.1,76.7,Bullish,1,1
KAYNES.ns,2023-06-05,0.0,0.5,1339.7,1428.0,1330.0,1430.7,951.55,1430.7,680.25,Bullish,1,1
KIRLOSBROS.ns,2023-06-05,0.0,0.44,579.25,596.65,574.35,597.65,415.0,597.65,294.7,Bullish,1,1
KRSNAA.ns,2023-06-05,0.0,0.5,560.3,575.45,551.95,585.45,495.25,585.45,360.4,Bullish,1,1
LAOPALA.ns,2023-06-05,0.0,0.44,403.3,406.45,388.45,403.3,368.0,427.7,327.8,Bullish,1,1
MOIL.ns,2023-06-05,0.0,0.31,160.2,162.5,160.0,161.2,151.55,172.5,141.25,Bullish,1,1
MAHSCOOTER.ns,2023-06-05,0.0,0.62,5312.65,5326.95,5216.05,5354.8,4805.55,5502.85,4102.25,Bullish,1,1
MAHSEAMLES.ns,2023-06-05,0.0,0.44,474.4,487.1,472.5,474.4,407.3,474.4,286.5,Bullish,1,1
MAITHANALL.ns,2023-06-05,0.0,0.38,982.45,998.6,976.0,1018.85,900.2,1137.8,771.9,Bullish,1,1
MANINFRA.ns,2023-06-05,0.0,0.25,99.95,100.4,95.45,99.95,79.7,99.95,66.65,Bullish,1,1
MARKSANS.ns,2023-06-05,0.0,0.38,88.55,89.9,82.25,88.55,70.55,88.55,46.35,Bullish,1,1
MINDACORP.ns,2023-06-05,0.0,0.44,294.1,301.75,292.1,298.4,262.0,298.4,189.45,Bullish,1,1
MIDHANI.ns,2023-06-05,0.0,0.5,234.8,240.5,229.05,237.3,199.7,262.8,173.75,Bullish,1,1
BECTORFOOD.ns,2023-06-05,0.0,0.44,792.3,794.8,773.2,792.3,600.0,792.3,342.5,Bullish,1,1
NDTV.ns,2023-06-05,0.0,0.25,238.9,247.5,238.0,250.4,170.25,446.3,171.65,Bullish,1,1
NRBBEARING.ns,2023-06-05,0.0,0.38,174.85,178.45,173.05,174.85,129.65,179.85,125.75,Bullish,1,1
NAVA.ns,2023-06-05,0.0,0.31,260.1,273.9,253.05,260.1,220.25,269.05,179.1,Bullish,1,1
NAVNETEDUL.ns,2023-06-05,0.0,0.38,123.75,126.5,121.8,126.0,100.8,143.8,89.35,Bullish,1,1
NEULANDLAB.ns,2023-06-05,0.0,0.25,2820.3,2856.0,2769.9,2974.95,2009.05,2974.95,1290.65,Bullish,1,1
NEWGEN.ns,2023-06-05,0.0,0.38,666.65,693.9,660.4,672.35,495.95,672.35,331.95,Bullish,1,1
OPTIEMUS.ns,2023-06-05,0.0,0.62,230.05,237.6,228.2,235.85,161.25,363.4,163.25,Bullish,1,1
ORIENTCEM.ns,2023-06-05,0.0,0.31,140.2,142.4,137.0,140.2,120.45,140.2,105.85,Bullish,1,1
PGEL.ns,2023-06-05,0.0,0.44,1643.25,1678.0,1630.0,1666.55,1372.0,1666.55,978.25,Bullish,1,1
PSPPROJECT.ns,2023-06-05,0.0,0.31,767.25,774.5,727.65,767.25,673.0,769.15,564.2,Bullish,1,1
PTC.ns,2023-06-05,0.0,0.38,102.45,103.9,101.8,102.45,91.2,114.1,69.65,Bullish,1,1
PARAS.ns,2023-06-05,0.0,0.25,570.05,576.3,537.0,570.05,491.15,697.8,450.1,Bullish,1,1
PGHL.ns,2023-06-05,0.0,0.25,5318.9,5325.0,5247.1,5318.9,4575.0,5318.9,3938.0,Bullish,1,1
PRUDENT.ns,2023-06-05,0.0,0.31,921.35,952.65,918.7,946.65,847.15,1070.35,595.8,Bullish,1,1
PURVA.ns,2023-06-05,0.0,0.56,87.1,87.55,85.9,87.3,77.0,109.2,59.9,Bullish,1,1
RKFORGE.ns,2023-06-05,0.0,0.25,372.75,386.0,371.5,388.3,324.9,388.3,176.6,Bullish,1,1
RATEGAIN.ns,2023-06-05,0.0,0.25,395.7,398.0,384.85,415.9,354.1,415.9,255.8,Bullish,1,1
RTNPOWER.ns,2023-06-05,0.0,0.5,3.45,3.55,3.45,3.45,3.05,4.8,2.85,Bullish,1,1
RPOWER.ns,2023-06-05,0.0,0.38,13.1,13.35,13.0,13.3,11.05,17.75,9.15,Bullish,1,1
RUPA.ns,2023-06-05,0.0,0.69,261.7,265.55,261.0,265.15,240.5,327.9,197.8,Bullish,1,1
SIS.ns,2023-06-05,0.0,0.44,401.75,408.05,400.1,410.35,374.05,424.25,320.65,Bullish,1,1
SAFARI.ns,2023-06-05,0.0,0.31,2802.4,2840.05,2766.6,2802.4,2377.3,2802.4,1545.2,Bullish,1,1
SCHNEIDER.ns,2023-06-05,0.0,0.56,253.05,255.2,250.15,253.05,175.1,253.05,140.1,Bullish,1,1
SHANTIGEAR.ns,2023-06-05,0.0,0.44,444.55,447.9,428.4,444.55,356.05,444.55,305.7,Bullish,1,1
SHAREINDIA.ns,2023-06-05,0.0,0.38,1301.8,1315.0,1255.0,1302.35,1171.5,1384.25,1010.25,Bullish,1,1
SBCL.ns,2023-06-05,0.0,0.31,558.85,571.65,541.15,558.85,483.0,558.85,362.0,Bullish,1,1
SOMANYCERA.ns,2023-06-05,0.0,0.31,652.35,667.7,637.3,652.35,520.1,652.35,453.15,Bullish,1,1
SPANDANA.ns,2023-06-05,0.0,0.44,696.25,712.0,691.25,717.9,600.0,717.9,494.5,Bullish,1,1
