Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
ABB.NS,2023-06-21,0.0,0.44,4376.0,4393.95,4393.95,4376.0,3809.5,4376.0,2679.95,Bullish,0.0024789552664789467,1.801173323521429,Nifty100
AGI.ns,2023-06-21,0.0,0.31,592.8,588.3,588.3,637.7,556.5,637.7,285.2,Bullish,1,1,NiftyMicroCap250
AHLUCONT.ns,2023-06-21,0.0,0.44,620.6,622.95,622.95,629.5,520.0,629.5,405.35,Bullish,1,1,NiftyMicroCap250
AMARAJABAT.ns,2023-06-21,0.0,0.38,634.45,637.7,637.7,646.05,594.65,664.0,485.2,Bullish,1,1,Niftysmallcap100
AKZOINDIA.ns,2023-06-21,0.0,0.25,2445.3,2442.0,2442.0,2507.85,2350.2,2507.85,2046.1,Bullish,1,1,NiftyMicroCap250
ANGELONE.ns,2023-06-21,0.0,0.38,1594.95,1594.95,1594.95,1594.95,1181.2,1649.6,1002.85,Bullish,1,1,Niftysmallcap100
ALOKINDS.ns,2023-06-21,0.0,0.44,16.25,16.4,16.4,17.0,12.6,17.7,10.6,Bullish,1,1,NiftyMicroCap250
AMBUJACEM.NS,2023-06-21,0.0,0.31,448.95,449.0,449.0,464.6,395.5,587.75,329.9,Bullish,0.0019957910602900466,0.9782690577175345,Nifty100
AMIORG.ns,2023-06-21,0.0,0.44,1269.1,1275.0,1275.0,1315.75,1150.35,1315.75,865.7,Bullish,1,1,NiftyMicroCap250
BSE.ns,2023-06-21,0.0,0.38,571.9,571.9,571.9,576.7,521.0,611.55,407.8,Bullish,1,1,Niftysmallcap100
APOLLOHOSP.NS,2023-06-21,0.0,0.56,5162.05,5169.85,5169.85,5218.75,4410.25,5218.75,4200.95,Bullish,0.006256917221154641,0.18403200506940973,Nifty100
ASIANPAINT.NS,2023-06-21,0.0,0.44,3318.7,3318.7,3318.7,3318.7,3046.0,3318.7,2705.65,Bullish,0.0028032437625723676,0.23936117189550646,Nifty100
ASHOKLEY.ns,2023-06-21,0.0,0.38,167.25,167.4,167.4,167.95,144.1,167.95,134.6,Bullish,0.004775207981714115,0.7456222906103813,NIFTYMIDCAP100
DMART.NS,2023-06-21,0.0,0.56,3986.9,3987.0,3987.0,4085.6,3352.0,4352.9,3306.8,Bullish,0.00643041934569824,0.9054030205862466,Nifty100
ANANTRAJ.ns,2023-06-21,0.0,0.38,169.75,170.0,170.0,169.75,139.2,169.75,89.9,Bullish,1,1,NiftyMicroCap250
BDL.ns,2023-06-21,0.0,0.38,1212.85,1215.9,1215.9,1212.85,975.3,1212.85,800.1,Bullish,1,1,Niftysmallcap100
APCOTEXIND.ns,2023-06-21,0.0,0.62,558.8,558.55,558.55,579.45,475.0,603.3,400.4,Bullish,1,1,NiftyMicroCap250
BIKAJI.ns,2023-06-21,0.0,0.44,416.15,418.0,418.0,416.15,372.25,443.05,310.9,Bullish,1,1,Niftysmallcap100
BAJFINANCE.NS,2023-06-21,0.0,0.38,7248.8,7275.0,7275.0,7386.2,6712.0,7432.4,5534.45,Bullish,0.002985545845835452,0.06290027305152758,Nifty100
APOLLOPIPE.ns,2023-06-21,0.0,0.44,711.55,718.9,718.9,729.65,600.0,729.65,467.5,Bullish,1,1,NiftyMicroCap250
BIRLACORPN.ns,2023-06-21,0.0,0.25,1203.45,1205.0,1205.0,1229.3,979.95,1229.3,852.9,Bullish,1,1,Niftysmallcap100
ARVINDFASN.ns,2023-06-21,0.0,0.5,338.6,338.0,338.0,340.9,263.95,374.65,265.85,Bullish,1,1,NiftyMicroCap250
BAJAJFINSV.NS,2023-06-21,0.0,0.5,1521.05,1525.9,1525.9,1541.95,1397.05,1800.7,1223.15,Bullish,0.0017641998132086607,0.9281420564654199,Nifty100
ARVIND.ns,2023-06-21,0.0,0.5,131.85,132.0,132.0,133.6,110.2,133.6,79.85,Bullish,1,1,NiftyMicroCap250
BORORENEW.ns,2023-06-21,0.0,0.44,549.95,550.0,550.0,549.95,470.0,580.9,390.6,Bullish,1,1,Niftysmallcap100
BATAINDIA.ns,2023-06-21,0.0,0.31,1640.8,1640.95,1640.95,1640.8,1509.0,1867.5,1387.0,Bullish,0.0024499096197284744,0.0592965663851005,NIFTYMIDCAP100
