Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
ABB.NS,2023-06-21,0.0,0.38,4366.45,4443.9,4323.7,4376.0,3809.5,4376.0,2679.95,Bullish,0.0023707565929537984,1.8028336067997521,Nifty100
ABBOTINDIA.ns,2023-06-21,0.0,0.25,22678.9,23090.0,22601.0,23093.5,20605.05,23093.5,18081.9,Bullish,0.0008789574217943159,0.30458038313736385,NIFTYMIDCAP100
ADANIPORTS.NS,2023-06-21,0.0,0.38,749.45,753.25,733.3,749.45,659.5,906.9,462.45,Bullish,0.0004351789293496706,0.7872526733446382,Nifty100
APOLLOTYRE.ns,2023-06-21,0.0,0.38,419.45,422.0,409.5,419.45,360.7,419.45,271.1,Bullish,0.0019443606395049542,0.5425553710641198,NIFTYMIDCAP100
APOLLOHOSP.NS,2023-06-21,0.0,0.38,5118.75,5173.0,5086.6,5218.75,4410.25,5218.75,4200.95,Bullish,0.005813448601842136,0.18572204281059346,Nifty100
AUROPHARMA.ns,2023-06-21,0.0,0.56,682.0,684.95,674.6,685.4,581.25,685.4,404.2,Bullish,0.0026045294876263173,1.0243776384687633,NIFTYMIDCAP100
ASIANPAINT.NS,2023-06-21,0.0,0.38,3316.1,3333.0,3300.0,3318.7,3046.0,3318.7,2705.65,Bullish,0.002761644141077835,0.24029551728868567,Nifty100
DMART.NS,2023-06-21,0.0,0.56,3919.5,4028.85,3898.05,4085.6,3352.0,4320.9,3306.8,Bullish,0.005542173937411412,0.9072844606570369,Nifty100
BAJFINANCE.NS,2023-06-21,0.0,0.5,7206.15,7285.9,7177.0,7386.2,6712.0,7432.4,5534.45,Bullish,0.0026749192224618068,0.06363575698064922,Nifty100
BHARATFORG.ns,2023-06-21,0.0,0.31,813.8,824.0,809.55,837.85,752.85,908.65,747.8,Bullish,0.0025869316127285448,0.33159649276994985,NIFTYMIDCAP100
BAJAJFINSV.NS,2023-06-21,0.0,0.56,1519.25,1535.0,1513.25,1541.95,1397.05,1800.7,1223.15,Bullish,0.001705097466472843,0.9291392024512013,Nifty100
BIOCON.ns,2023-06-21,0.0,0.31,245.1,246.65,244.25,245.3,234.0,287.35,198.7,Bullish,0.0009515297515716254,0.05910197354860999,NIFTYMIDCAP100
BERGEPAINT.NS,2023-06-21,0.0,0.44,683.5,688.5,675.0,683.5,615.05,683.5,539.5,Bullish,0.0027348481045697984,0.3639569810292403,Nifty100
BEL.NS,2023-06-21,0.0,0.31,122.8,126.3,121.75,125.2,105.7,125.2,88.95,Bullish,0.004923749251608636,0.6576783663530713,Nifty100
BPCL.NS,2023-06-21,0.0,0.56,372.8,374.75,371.35,378.9,354.6,378.9,292.15,Bullish,0.00034413470644515916,0.6276823297293427,Nifty100
BHARTIARTL.NS,2023-06-21,0.0,0.25,839.0,840.75,830.4,849.9,793.25,851.2,740.1,Bullish,0.0004755124726111505,0.36454859734654455,Nifty100
CUMMINSIND.ns,2023-06-21,0.0,0.38,1857.8,1908.0,1851.2,1899.5,1556.0,1899.5,1185.65,Bullish,0.001845023845675484,1.2025756427384116,NIFTYMIDCAP100
BRITANNIA.NS,2023-06-21,0.0,0.44,5069.55,5085.25,5045.65,5069.55,4484.15,5069.55,3713.1,Bullish,0.003951333436081863,0.9400636412427816,Nifty100
CHOLAFIN.NS,2023-06-21,0.0,0.44,1134.35,1155.0,1125.1,1134.35,1011.1,1134.35,665.95,Bullish,0.0026715918622840294,0.556961076594888,Nifty100
DIXON.ns,2023-06-21,0.0,0.62,4587.1,4634.4,4551.65,4655.15,2966.05,4655.15,2644.2,Bullish,0.012563985586944946,0.1381707485386685,NIFTYMIDCAP100
COLPAL.NS,2023-06-21,0.0,0.44,1652.4,1684.0,1643.5,1659.7,1568.0,1673.65,1442.65,Bullish,0.00023821288141535413,1.2076591851836571,Nifty100
DABUR.NS,2023-06-21,0.0,0.38,567.1,575.5,564.8,572.1,515.4,604.4,505.0,Bullish,0.001711643138785421,1.0703510744930735,Nifty100
GODREJPROP.ns,2023-06-21,0.0,0.56,1529.85,1559.0,1508.4,1569.65,1286.3,1569.65,1013.45,Bullish,0.001823390611934093,1.1318802106230808,NIFTYMIDCAP100
DRREDDY.NS,2023-06-21,0.0,0.38,4910.4,4950.0,4893.7,4915.05,4384.05,4968.0,4200.95,Bearish,0.003405134582799925,0.67639926229517,Nifty100
NYKAA.NS,2023-06-21,0.0,0.5,150.4,151.0,147.35,150.45,122.15,211.6,115.95,Bullish,0.008679000812092698,0.3079718046162822,Nifty100
GODREJCP.NS,2023-06-21,0.0,0.25,1063.6,1076.6,1054.1,1077.7,1002.0,1077.7,814.85,Bullish,0.00018284337481124023,0.9026341191278505,Nifty100
HONAUT.ns,2023-06-21,0.0,0.44,42649.8,42825.0,42412.05,42649.8,38251.0,43391.4,34487.25,Bullish,0.0024490673223115326,0.264942954681724,NIFTYMIDCAP100
IDFCFIRSTB.ns,2023-06-21,0.0,0.31,82.2,84.35,81.5,82.8,65.6,82.8,52.75,Bullish,0.004182375707685683,1.5764588416643237,NIFTYMIDCAP100
HDFCAMC.NS,2023-06-21,0.0,0.31,2048.5,2125.5,2037.45,2104.9,1740.0,2295.35,1672.85,Bullish,0.002979161772310084,3.070903223215556,Nifty100
HDFCLIFE.NS,2023-06-21,0.22,0.2,642.5,659.95,640.05,643.7,554.5,643.7,461.4,Bullish,0.0033612694641720585,1.6631644281159739,Nifty100
L&TFH.ns,2023-06-21,0.0,0.25,123.65,126.9,122.1,123.65,97.3,123.65,76.25,Bullish,0.005064559751001567,1.2918993230149391,NIFTYMIDCAP100
ICICIGI.NS,2023-06-21,0.0,0.25,1302.55,1322.9,1288.05,1302.55,1066.3,1302.55,1059.6,Bullish,0.005781271029647358,2.48945315008635,Nifty100
IOC.NS,2023-06-21,0.0,0.31,92.0,92.85,91.7,93.15,84.8,93.15,66.05,Bullish,0.0006666547791014431,0.5813730483725196,Nifty100
LUPIN.ns,2023-06-21,0.0,0.38,875.05,885.3,829.05,875.05,769.6,875.05,640.0,Bullish,0.0030681908796894985,0.844534239766236,NIFTYMIDCAP100
IRCTC.NS,2023-06-21,0.0,0.44,662.35,667.5,659.0,667.85,604.1,763.9,560.2,Bullish,0.000934588981767718,1.5656404518952205,Nifty100
INDUSTOWER.NS,2023-06-21,0.0,0.31,167.0,171.75,160.55,167.0,141.6,203.3,136.75,Bullish,0.0010970258084429668,3.220929615303781,Nifty100
M&MFIN.ns,2023-06-21,0.0,0.31,325.85,328.1,320.6,325.85,278.55,325.85,193.6,Bullish,0.002116808739395532,1.4494461381267463,NIFTYMIDCAP100
NAUKRI.NS,2023-06-21,0.0,0.38,4474.1,4505.0,4442.55,4474.1,3702.95,4474.1,3375.8,Bullish,0.003274919331214431,2.417316132169903,Nifty100
JSWSTEEL.NS,2023-06-21,0.0,0.38,758.75,774.0,752.05,776.1,681.05,776.1,622.05,Bullish,0.0031714284091315884,0.7965730975629294,Nifty100
LT.NS,2023-06-21,0.0,0.44,2394.45,2412.0,2382.0,2394.45,2168.5,2394.45,1876.15,Bullish,0.0038469230434659933,0.3014281060571153,Nifty100
OBEROIRLTY.ns,2023-06-21,0.0,0.5,1013.4,1024.1,1002.45,1020.2,884.75,1020.2,802.25,Bullish,0.0017477883130458984,0.5968909564402296,NIFTYMIDCAP100
