Symbol,Date,NewsSentiment,Signal_strength,MinSignalStrength,Close,High,Low,Resistance,Support,52High,52Low,VWAP,Trend
ABB.NS,2023-05-16,0.13,0.41,0.07,3910.5,3933.75,3845.6,3942.55,3141.15,3942.55,2598.55,3117.2717951138793,Bullish
ADANIPORTS.NS,2023-05-16,0.0,0.27,0.07,687.0,698.8,685.3,708.8,643.0,970.25,462.45,699.2610986871758,Bullish
AMBUJACEM.NS,2023-05-16,0.39,0.29,0.07,400.9,409.8,399.8,412.2,373.35,587.75,329.9,438.84233816534686,Bullish
APOLLOHOSP.NS,2023-05-16,0.93,0.33,0.07,4555.1,4642.25,4541.0,4625.85,4187.3,4871.45,4024.9,4431.435192850686,Bullish
ASIANPAINT.NS,2023-05-16,0.13,0.41,0.07,3138.1,3165.7,3122.35,3139.75,2750.05,3570.65,2705.65,3074.3040132989827,Bullish
BAJAJFINSV.NS,2023-05-16,0.0,0.4,0.07,1428.35,1438.0,1421.0,1428.35,1295.65,1805.35,1223.15,1528.59897627968,Bullish
BEL.NS,2023-05-16,0.44,0.43,0.07,108.45,109.1,107.4,108.6,98.75,112.85,84.97,100.39458493882877,Bullish
BHARTIARTL.NS,2023-05-16,0.31,0.35,0.07,787.35,801.25,784.0,799.3,752.55,851.2,666.85,771.1885909107709,Bullish
CHOLAFIN.NS,2023-05-16,0.31,0.42,0.07,1020.4,1024.9,1003.15,1020.4,815.35,1020.4,665.95,775.5202810646516,Bullish
CIPLA.NS,2023-05-16,0.0,0.33,0.07,922.1,942.65,918.4,944.4,894.2,1173.4,862.35,1009.9019159402986,Bullish
COALINDIA.NS,2023-05-16,0.23,0.35,0.07,240.95,241.7,237.45,240.95,221.15,255.8,197.1,226.02329394305497,Bullish
DLF.NS,2023-05-16,0.19,0.28,0.07,471.75,478.7,470.05,471.75,383.75,471.75,342.7,387.5484795003962,Bullish
DIVISLAB.NS,2023-05-16,0.0,0.27,0.07,3279.45,3332.6,3272.05,3425.25,2901.2,3948.8,2750.85,3335.286285387527,Bullish
GODREJCP.NS,2023-05-16,0.0,0.27,0.07,1012.25,1025.0,1009.0,1012.25,897.0,1012.25,814.85,904.6955101293222,Bullish
HDFCLIFE.NS,2023-05-16,0.09,0.47,0.07,559.5,563.5,554.0,567.4,509.55,611.65,461.4,539.8364141496364,Bullish
HAVELLS.NS,2023-05-16,0.32,0.42,0.07,1291.15,1303.15,1287.95,1305.95,1158.15,1391.5,1099.95,1230.122420859369,Bullish
HAL.NS,2023-05-16,0.0,0.27,0.07,3096.75,3123.1,3033.05,3096.75,2740.5,3096.75,1831.1,2534.025486563148,Bullish
ICICIBANK.NS,2023-05-16,0.21,0.28,0.07,946.35,952.2,943.0,946.35,864.4,952.9,783.1,881.1000898560696,Bullish
ICICIGI.NS,2023-05-16,0.31,0.35,0.07,1117.25,1126.95,1110.5,1130.75,1055.0,1355.5,1059.6,1171.3974198762273,Bullish
IOC.NS,2023-05-16,0.63,0.31,0.07,87.0,87.65,85.0,87.0,76.8,87.0,65.75,74.80871279435712,Bullish
INDUSINDBK.NS,2023-05-16,0.35,0.29,0.07,1220.3,1226.1,1208.65,1220.3,1007.95,1264.1,879.3,1128.0689091608804,Bullish
NAUKRI.NS,2023-05-16,0.31,0.35,0.07,3933.3,3979.55,3920.0,3975.15,3592.3,4503.05,3375.8,3942.365915137264,Bullish
KOTAKBANK.NS,2023-05-16,0.21,0.35,0.07,1947.05,1978.0,1938.0,1973.0,1749.65,1973.0,1648.25,1825.9820306719578,Bullish
MARICO.NS,2023-05-16,0.32,0.42,0.07,536.15,538.75,531.45,542.6,462.7,549.45,468.15,509.4878555974518,Bullish
MARUTI.NS,2023-05-16,0.42,0.43,0.07,9071.35,9229.3,9057.1,9295.4,8403.05,9527.6,8141.6,8797.956805474432,Bullish
MUTHOOTFIN.NS,2023-05-16,0.0,0.4,0.07,1062.95,1079.55,1060.55,1068.65,1003.25,1187.4,915.8,1048.3621373743927,Bullish
NTPC.NS,2023-05-16,0.11,0.27,0.07,177.45,178.0,175.5,179.55,166.8,181.8,148.95,168.43974240635293,Bearish
ONGC.NS,2023-05-16,0.42,0.36,0.07,168.0,168.5,166.75,168.0,150.0,168.0,122.55,141.9262224701485,Bullish
PIDILITIND.NS,2023-05-16,0.31,0.42,0.07,2544.2,2580.0,2540.0,2587.25,2312.35,2901.85,2268.15,2555.8865942443117,Bullish
RELIANCE.NS,2023-05-16,0.63,0.44,0.07,2453.8,2499.6,2450.15,2496.6,2321.55,2731.35,2201.25,2456.3131328425425,Bullish
SBILIFE.NS,2023-05-16,0.0,0.27,0.07,1180.75,1201.8,1174.2,1189.45,1090.6,1331.55,1062.65,1211.0695842580456,Bullish
SIEMENS.NS,2023-05-16,0.51,0.43,0.07,3872.0,3914.95,3846.0,3891.05,3240.0,3891.05,2614.65,3028.1441114920876,Bullish
SBIN.NS,2023-05-16,0.32,0.42,0.07,586.3,590.4,582.0,586.3,524.4,625.5,505.35,554.8209803417097,Bullish
TATACONSUM.NS,2023-05-16,0.0,0.4,0.01,786.25,789.7,784.8,791.15,696.45,849.0,687.55,772.9364224092639,Bullish
TITAN.NS,2023-05-16,0.17,0.28,0.07,2790.25,2800.8,2774.55,2790.25,2559.25,2790.25,2271.2,2543.456565431471,Bullish
VBL.NS,2023-05-16,0.0,0.33,0.07,1574.05,1610.0,1562.05,1606.4,1375.0,1606.4,869.9,1211.9301483171537,Bullish
