Symbol,Date,NewsSentiment,Signal_strength,MinSignalStrength,Close,High,Low,Resistance,Support,52High,52Low,VWAP,Trend
AAPL,2023-05-17,0.0,0.4,0.07,170.93,172.15,170.42,173.75,161.42,174.55,125.02,150.86295493884393,Bullish
GOOGL,2023-05-17,0.0,0.33,0.07,119.38,119.97,118.89,119.51,102.63,122.08,83.43,100.40559557914398,Bullish
MSFT,2023-05-17,0.0,0.33,0.07,311.25,313.09,311.07,312.31,275.37,312.31,214.25,257.79708512590213,Bullish
