Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
ELECTCAST.ns,2023-06-23,0.0,0.5,56.1,57.1,54.5,58.2,42.9,58.2,31.75,Bullish,1,1,NiftyMicroCap250
NAUKRI.NS,2023-06-23,0.0,0.25,4306.9,4399.95,4282.25,4474.1,3735.0,4474.1,3375.8,Bullish,0.0009257866524178446,1.5508089667383442,Nifty100
JBCHEPHARM.ns,2023-06-23,0.0,0.25,2311.05,2399.0,2260.55,2392.9,1750.0,2392.9,1894.85,Bullish,1,1,Niftysmallcap100
LUPIN.ns,2023-06-23,0.0,0.56,858.25,865.8,846.3,875.05,769.6,875.05,640.0,Bullish,0.001663497935036153,0.9169641426518912,NIFTYMIDCAP100
FAIRCHEMOR.ns,2023-06-23,0.0,0.38,1263.65,1285.0,1250.25,1356.95,1146.35,2194.15,909.25,Bullish,1,1,NiftyMicroCap250
MRF.ns,2023-06-23,0.0,0.31,99492.05,99977.0,98880.05,100422.2,95225.3,100422.2,82012.0,Bullish,1.3693012619856609e-05,0.473921359813919,NIFTYMIDCAP100
JSL.ns,2023-06-23,0.0,0.44,324.75,328.3,317.05,334.0,276.1,334.0,129.65,Bullish,1,1,Niftysmallcap100
FILATEX.ns,2023-06-23,0.0,0.31,38.85,39.95,38.5,40.7,36.25,50.78,32.05,Bullish,1,1,NiftyMicroCap250
JUBLINGREA.ns,2023-06-23,0.0,0.25,430.05,451.0,428.0,467.35,379.05,582.95,358.5,Bullish,1,1,Niftysmallcap100
KEI.ns,2023-06-23,0.0,0.38,2343.25,2370.0,2320.05,2353.6,1950.0,2353.6,1409.0,Bullish,1,1,Niftysmallcap100
FINOPB.ns,2023-06-23,0.0,0.25,255.2,260.0,252.0,257.5,201.35,268.6,185.1,Bullish,1,1,NiftyMicroCap250
MAXHEALTH.ns,2023-06-23,0.0,0.31,580.55,585.5,565.25,601.65,508.8,601.65,405.5,Bullish,0.002562464960103484,0.9198322489536582,NIFTYMIDCAP100
LT.NS,2023-06-23,0.0,0.38,2389.55,2427.0,2383.25,2416.25,2176.0,2416.25,1876.75,Bullish,0.0036471349718248352,0.49799171755728455,Nifty100
FORCEMOT.ns,2023-06-23,0.0,0.31,2322.5,2351.0,2160.1,2322.5,1358.25,2322.5,1098.25,Bullish,1,1,NiftyMicroCap250
