Symbol,Date,NewsSentiment,Signal_strength,MinSignalStrength,Close,High,Low,Resistance,Support,52High,52Low,VWAP,Trend
AAPL,2023-05-30,0.0,0.38,0.06,177.3,178.99,176.57,177.3,162.8,177.3,125.02,151.24043633386967,Bullish
AMZN,2023-05-30,0.0,0.31,0.06,121.66,122.92,119.86,121.66,101.15,144.78,81.82,104.35320024319617,Bullish
GOOGL,2023-05-30,0.0,0.44,0.06,123.67,125.66,122.0,125.05,102.63,125.05,83.43,100.83859986658567,Bullish
MSFT,2023-05-30,0.0,0.31,0.06,331.21,335.74,330.52,332.89,275.37,332.89,214.25,260.0811582865109,Bullish
META,2023-05-30,0.0,0.31,0.06,262.52,268.65,261.29,262.52,207.13,262.52,88.91,153.32739647415147,Bullish
NVDA,2023-05-30,0.0,0.31,0.06,401.11,419.38,399.49,401.11,262.25,401.11,112.27,194.99824671331166,Bullish
