Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
ABB.NS,2023-06-22,0.28,0.27,4270.5,4373.0,4261.0,4376.0,3809.5,4376.0,2679.95,Bullish,0.0014533951806438247,2.2127716205525694,Nifty100
ADANIPORTS.NS,2023-06-22,0.0,0.31,745.6,758.0,741.0,749.45,659.5,906.9,462.45,Bullish,0.00048031183356650193,0.9496991831023358,Nifty100
AMARAJABAT.ns,2023-06-22,0.0,0.38,634.35,653.2,628.55,641.5,594.65,664.0,485.2,Bullish,1,1,Niftysmallcap100
ABBOTINDIA.ns,2023-06-22,0.0,0.25,22554.85,22762.95,22444.0,23093.5,20605.05,23093.5,18081.9,Bullish,0.0004899769217712171,0.39604454805820444,NIFTYMIDCAP100
ANGELONE.ns,2023-06-22,0.0,0.38,1568.9,1632.0,1556.25,1622.5,1181.2,1649.6,1002.85,Bullish,1,1,Niftysmallcap100
AHLUCONT.ns,2023-06-22,0.0,0.56,620.05,624.95,609.0,629.5,520.0,629.5,405.35,Bullish,1,1,NiftyMicroCap250
AKZOINDIA.ns,2023-06-22,0.0,0.31,2453.35,2469.35,2446.45,2507.85,2350.2,2507.85,2046.1,Bullish,1,1,NiftyMicroCap250
ALOKINDS.ns,2023-06-22,0.23,0.45,18.25,19.3,17.8,18.25,12.6,18.25,10.6,Bullish,1,1,NiftyMicroCap250
BSE.ns,2023-06-22,0.0,0.38,603.25,611.3,585.25,603.25,521.0,611.55,407.8,Bullish,1,1,Niftysmallcap100
BALAMINES.ns,2023-06-22,0.0,0.38,2338.35,2395.45,2325.05,2437.55,1880.0,3100.85,1942.4,Bearish,1,1,Niftysmallcap100
APOLLOTYRE.ns,2023-06-22,0.0,0.25,415.1,427.6,413.2,419.45,360.7,419.45,271.1,Bullish,0.0010504346723703107,0.6989192793759537,NIFTYMIDCAP100
APOLLOHOSP.NS,2023-06-22,0.0,0.38,5066.0,5155.0,5055.0,5218.75,4410.25,5218.75,4200.95,Bullish,0.004688907077713193,0.45275674841227254,Nifty100
ASHOKLEY.ns,2023-06-22,0.14,0.57,164.0,166.2,163.2,167.95,144.1,167.95,134.6,Bullish,0.006008126910409017,0.14134943830143162,NIFTYMIDCAP100
AMIORG.ns,2023-06-22,0.0,0.62,1279.05,1308.0,1264.0,1315.75,1150.35,1315.75,865.7,Bullish,1,1,NiftyMicroCap250
ASIANPAINT.NS,2023-06-22,0.0,0.25,3248.05,3326.85,3242.45,3318.7,3046.0,3318.7,2705.65,Bullish,0.0012766557561036756,0.7896118963725784,Nifty100
BDL.ns,2023-06-22,0.0,0.38,1171.15,1207.6,1164.6,1212.85,975.3,1212.85,800.1,Bullish,1,1,Niftysmallcap100
DMART.NS,2023-06-22,0.23,0.45,3812.15,3940.0,3800.0,4085.6,3375.6,4320.9,3306.8,Bullish,0.003409739574649665,1.3424414416570218,Nifty100
BIKAJI.ns,2023-06-22,0.0,0.5,422.3,425.0,406.4,422.3,372.25,443.05,310.9,Bullish,1,1,Niftysmallcap100
BIRLACORPN.ns,2023-06-22,0.0,0.31,1225.0,1253.85,1217.35,1243.45,979.95,1243.45,852.9,Bullish,1,1,Niftysmallcap100
AXISBANK.NS,2023-06-22,0.0,0.38,966.6,973.45,958.7,985.85,908.95,985.85,800.5,Bullish,0.000921140706854989,1.4412719480536988,Nifty100
BSOFT.ns,2023-06-22,0.0,0.25,344.2,346.0,335.1,347.8,320.1,347.8,251.75,Bullish,1,1,Niftysmallcap100
BAJFINANCE.NS,2023-06-22,0.41,0.4,7030.0,7204.15,7020.0,7386.2,6712.0,7432.4,5534.45,Bullish,0.0005926279539676591,0.44516013288384926,Nifty100
BORORENEW.ns,2023-06-22,0.0,0.25,535.15,549.0,532.15,549.95,470.0,580.9,390.6,Bullish,1,1,Niftysmallcap100
APCOTEXIND.ns,2023-06-22,0.0,0.31,551.4,567.95,547.1,579.45,475.0,603.3,400.4,Bullish,1,1,NiftyMicroCap250
BAJAJFINSV.NS,2023-06-22,0.41,0.65,1507.65,1527.2,1504.85,1541.95,1397.05,1800.7,1223.15,Bullish,0.0014742473240545082,1.0866765989850504,Nifty100
BCG.ns,2023-06-22,0.06,0.25,33.05,36.45,33.05,34.75,14.1,40.05,9.35,Bullish,1,1,Niftysmallcap100
