date,title,link,sentiment,sentiment_type,relevant
2023-05-12,"Buy Tata Power Company, target price Rs 226: Yes Securities - The Economic Times",https://news.google.com/rss/articles/CBMiigFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvcmVjb3MvYnV5LXRhdGEtcG93ZXItY29tcGFueS1sdGQtdGFyZ2V0LXByaWNlLXJzLTIyNi0wLXllcy1zZWN1cml0aWVzL2FydGljbGVzaG93LzEwMDE3NTQ4OS5jbXPSAY4BaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21hcmtldHMvc3RvY2tzL3JlY29zL2J1eS10YXRhLXBvd2VyLWNvbXBhbnktbHRkLXRhcmdldC1wcmljZS1ycy0yMjYtMC15ZXMtc2VjdXJpdGllcy9hbXBfYXJ0aWNsZXNob3cvMTAwMTc1NDg5LmNtcw?oc=5,0.24,Positive,False
2023-04-21,"Hold Tata Power Company, target price Rs 220: JM Financial - The Economic Times",https://news.google.com/rss/articles/CBMiggFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvcmVjb3MvaG9sZC10YXRhLXBvd2VyLWNvbXBhbnktdGFyZ2V0LXByaWNlLXJzLTIyMC1qbS1maW5hbmNpYWwvYXJ0aWNsZXNob3cvOTk2NjA4NDkuY21z0gGGAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9yZWNvcy9ob2xkLXRhdGEtcG93ZXItY29tcGFueS10YXJnZXQtcHJpY2UtcnMtMjIwLWptLWZpbmFuY2lhbC9hbXBfYXJ0aWNsZXNob3cvOTk2NjA4NDkuY21z?oc=5,0.24,Positive,False
2023-05-18,"Power Grid Corp. of India falls Thursday, underperforms market - MarketWatch",https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9wb3dlci1ncmlkLWNvcnAtb2YtaW5kaWEtZmFsbHMtdGh1cnNkYXktdW5kZXJwZXJmb3Jtcy1tYXJrZXQtZjMzZmU0N2ItMzA4OTU0ZDMzMmY20gF8aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9kYXRhLW5ld3MvcG93ZXItZ3JpZC1jb3JwLW9mLWluZGlhLWZhbGxzLXRodXJzZGF5LXVuZGVycGVyZm9ybXMtbWFya2V0LWYzM2ZlNDdiLTMwODk1NGQzMzJmNg?oc=5,0.16,Positive,True
2023-05-04,"Tata Power Q4 Results: Profit jumps 48% YoY to Rs 939 crore, dividend declared at Rs 2/share - Economic Times",https://news.google.com/rss/articles/CBMirwFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvZWFybmluZ3MvdGF0YS1wb3dlci1xNC1yZXN1bHRzLXByb2ZpdC1qdW1wcy00OC15b3ktdG8tcnMtOTM5LWNyb3JlLWRpdmlkZW5kLWRlY2xhcmVkLWF0LXJzLTIvc2hhcmUvYXJ0aWNsZXNob3cvOTk5OTAyMTcuY21z0gGqAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9lYXJuaW5ncy90YXRhLXBvd2VyLXE0LXJlc3VsdHMtcHJvZml0LWp1bXBzLTQ4LXlveS10by1ycy05MzktY3JvcmUtZGl2aWRlbmQtZGVjbGFyZWQtYXQtcnMtMi9zaGFyZS9hbXBfYXJ0aWNsZXNob3cvOTk5OTAyMTcuY21z?oc=5,0.32,Positive,False
2023-05-02,Tata Power Approaches Appellate Authority To Stay Tariffs To Prevent Loss Of Customers - BQ Prime,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmJxcHJpbWUuY29tL2J1c2luZXNzL3RhdGEtcG93ZXItYXBwcm9hY2hlcy1hcHBlbGxhdGUtYXV0aG9yaXR5LXRvLXN0YXktdGFyaWZmcy10by1wcmV2ZW50LWxvc3Mtb2YtY3VzdG9tZXJz0gF7aHR0cHM6Ly93d3cuYnFwcmltZS5jb20vYW1wL2J1c2luZXNzL3RhdGEtcG93ZXItYXBwcm9hY2hlcy1hcHBlbGxhdGUtYXV0aG9yaXR5LXRvLXN0YXktdGFyaWZmcy10by1wcmV2ZW50LWxvc3Mtb2YtY3VzdG9tZXJz?oc=5,0.07,Positive,True
