date,title,link,sentiment,sentiment_type,relevant
2023-05-18,Share price of LTIMindtree jumps as Sensex gains 144.35 points - The Economic Times,https://news.google.com/rss/articles/CBMijwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3Mvc3RvY2std2F0Y2gvc2hhcmUtcHJpY2Utb2YtbHRpbWluZHRyZWUtanVtcHMtYXMtc2Vuc2V4LWdhaW5zLTE0NC0zNS1wb2ludHMvYXJ0aWNsZXNob3cvMTAwMzIzMTcyLmNtc9IBkwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3Mvc3RvY2std2F0Y2gvc2hhcmUtcHJpY2Utb2YtbHRpbWluZHRyZWUtanVtcHMtYXMtc2Vuc2V4LWdhaW5zLTE0NC0zNS1wb2ludHMvYW1wX2FydGljbGVzaG93LzEwMDMyMzE3Mi5jbXM?oc=5,0.33,Positive,False
2023-05-16,LTIMindtree shares gain 1.16% as Sensex falls - The Economic Times,https://news.google.com/rss/articles/CBMifWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9zdG9jay13YXRjaC9sdGltaW5kdHJlZS1zaGFyZXMtZ2Fpbi0xLTE2LWFzLXNlbnNleC1mYWxscy9hcnRpY2xlc2hvdy8xMDAyNjY3MDUuY21z0gGBAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9zdG9jay13YXRjaC9sdGltaW5kdHJlZS1zaGFyZXMtZ2Fpbi0xLTE2LWFzLXNlbnNleC1mYWxscy9hbXBfYXJ0aWNsZXNob3cvMTAwMjY2NzA1LmNtcw?oc=5,0.27,Positive,False
2023-05-10,LTIMindtree at work on real estate consolidation plan: MD Debashis Chatterjee - Economic Times,https://news.google.com/rss/articles/CBMioQFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vdGVjaC9pbmZvcm1hdGlvbi10ZWNoL2x0aW1pbmR0cmVlLWF0LXdvcmstb24tcmVhbC1lc3RhdGUtY29uc29saWRhdGlvbi1wbGFuLW1kLWRlYmFzaGlzLWNoYXR0ZXJqZWUvYXJ0aWNsZXNob3cvMTAwMTA5NDUyLmNtc9IBnAFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vdGVjaC9pbmZvcm1hdGlvbi10ZWNoL2x0aW1pbmR0cmVlLWF0LXdvcmstb24tcmVhbC1lc3RhdGUtY29uc29saWRhdGlvbi1wbGFuLW1kLWRlYmFzaGlzLWNoYXR0ZXJqZWUvYW1wX2FydGljbGVzaG93LzEwMDEwOTQ1Mi5jbXM?oc=5,0.29,Positive,False
2023-04-24,LTIMindtree shares gain 0.74% as Sensex rises - The Economic Times,https://news.google.com/rss/articles/CBMifGh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9zdG9jay13YXRjaC9sdGltaW5kdHJlZS1zaGFyZXMtZ2Fpbi0wLTc0LWFzLXNlbnNleC1yaXNlcy9hcnRpY2xlc2hvdy85OTcyMzQwMi5jbXPSAYABaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21hcmtldHMvc3RvY2tzL3N0b2NrLXdhdGNoL2x0aW1pbmR0cmVlLXNoYXJlcy1nYWluLTAtNzQtYXMtc2Vuc2V4LXJpc2VzL2FtcF9hcnRpY2xlc2hvdy85OTcyMzQwMi5jbXM?oc=5,0.33,Positive,False
2023-05-02,Shares of LTIMindtree rise as Nifty gains - The Economic Times,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9zdG9jay13YXRjaC9zaGFyZXMtb2YtbHRpbWluZHRyZWUtcmlzZS1hcy1uaWZ0eS1nYWlucy9hcnRpY2xlc2hvdy85OTkyMzc3MC5jbXPSAX1odHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3Mvc3RvY2std2F0Y2gvc2hhcmVzLW9mLWx0aW1pbmR0cmVlLXJpc2UtYXMtbmlmdHktZ2FpbnMvYW1wX2FydGljbGVzaG93Lzk5OTIzNzcwLmNtcw?oc=5,0.27,Positive,False
