date,title,link,sentiment,sentiment_type,relevant
2023-05-13,Multibagger stock below Rs 10: This micro-cap company receives ... - Dalal Street Investment Journal,https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5kc2lqLmluL2RzaWphcnRpY2xlZGV0YWlsL211bHRpYmFnZ2VyLXN0b2NrLWJlbG93LXJzLTEwLXRoaXMtbWljcm8tY2FwLWNvbXBhbnktcmVjZWl2ZXMtb3JkZXItd29ydGgtcnMtMjQ2OS1jcm9yZS0zMDM4MS0x0gEA?oc=5,0.25,Positive,False
2023-05-14,Stocks to watch: These small-cap stocks will be in focus on Monday! - Dalal Street Investment Journal,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmRzaWouaW4vZHNpamFydGljbGVkZXRhaWwvc3RvY2tzLXRvLXdhdGNoLXRoZXNlLXNtYWxsLWNhcC1zdG9ja3Mtd2lsbC1iZS1pbi1mb2N1cy1vbi1tb25kYXktMzA0MDHSAQA?oc=5,0.25,Positive,False
2022-11-11,Engineers India Second Quarter 2023 Earnings: EPS: ₹1.34 (vs ₹0.30 in 2Q 2022) - Simply Wall St,https://news.google.com/rss/articles/CBMilAFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL2luL2NhcGl0YWwtZ29vZHMvbnNlLWVuZ2luZXJzaW4vZW5naW5lZXJzLWluZGlhLXNoYXJlcy9uZXdzL2VuZ2luZWVycy1pbmRpYS1zZWNvbmQtcXVhcnRlci0yMDIzLWVhcm5pbmdzLWVwcy0xMzQtdnMtMDMw0gGYAWh0dHBzOi8vc2ltcGx5d2FsbC5zdC9zdG9ja3MvaW4vY2FwaXRhbC1nb29kcy9uc2UtZW5naW5lcnNpbi9lbmdpbmVlcnMtaW5kaWEtc2hhcmVzL25ld3MvZW5naW5lZXJzLWluZGlhLXNlY29uZC1xdWFydGVyLTIwMjMtZWFybmluZ3MtZXBzLTEzNC12cy0wMzAvYW1w?oc=5,0.09,Positive,False
2023-04-04,The Indian Energy Exchange achieves overall volume of 9212 MU ... - Equity Bulls,https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmVxdWl0eWJ1bGxzLmNvbS9jYXRlZ29yeS5waHA_aWQ9MzI5Nzk20gEA?oc=5,-0.02,Negative,False
2023-03-31,CRISIL updates on ratings of Oricon Enterprises Limited - Equity Bulls,https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmVxdWl0eWJ1bGxzLmNvbS9jYXRlZ29yeS5waHA_aWQ9MzI5NjYy0gEA?oc=5,-0.01,Negative,False
