date,title,link,sentiment,sentiment_type,relevant
2023-05-18,"Maruti Suzuki India falls Thursday, underperforms market - MarketWatch",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9tYXJ1dGktc3V6dWtpLWluZGlhLWZhbGxzLXRodXJzZGF5LXVuZGVycGVyZm9ybXMtbWFya2V0LWM1NWNlODM2LTUxY2RlOTExNDlhONIBd2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvZGF0YS1uZXdzL21hcnV0aS1zdXp1a2ktaW5kaWEtZmFsbHMtdGh1cnNkYXktdW5kZXJwZXJmb3Jtcy1tYXJrZXQtYzU1Y2U4MzYtNTFjZGU5MTE0OWE4?oc=5,0.1,Positive,True
2023-05-18,Mindshare India wins media mandate for Maruti Suzuki - The Financial Express,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL2J1c2luZXNzL2JyYW5kd2Fnb24tbWluZHNoYXJlLWluZGlhLXdpbnMtbWVkaWEtbWFuZGF0ZS1mb3ItbWFydXRpLXN1enVraS0zMDkyNDQzL9IBd2h0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL2J1c2luZXNzL2JyYW5kd2Fnb24tbWluZHNoYXJlLWluZGlhLXdpbnMtbWVkaWEtbWFuZGF0ZS1mb3ItbWFydXRpLXN1enVraS0zMDkyNDQzL2xpdGUv?oc=5,0.0,Neutral,False
2023-05-12,Maruti Suzuki India plans to invest over $5.5 bln to double capacity ... - Reuters India,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2luZGlhL21hcnV0aS1zdXp1a2ktaW5kaWEtcGxhbnMtaW52ZXN0LW92ZXItNTUtYmxuLWRvdWJsZS1jYXBhY2l0eS1ieS0yMDMwLWV0LTIwMjMtMDUtMTIv0gEA?oc=5,0.09,Positive,True
2023-05-01,"Can Maruti Suzuki India shares drive past Rs 10,000 mark? Here's what brokerages say - Business Today",https://news.google.com/rss/articles/CBMinAFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL21hcmtldHMvY29tcGFueS1zdG9jay9zdG9yeS9jYW4tbWFydXRpLXN1enVraS1pbmRpYS1zaGFyZXMtZHJpdmUtcGFzdC1ycy0xMDAwMC1tYXJrLWhlcmVzLXdoYXQtYnJva2VyYWdlcy1zYXktMzc5NTI0LTIwMjMtMDUtMDHSAaABaHR0cHM6Ly93d3cuYnVzaW5lc3N0b2RheS5pbi9hbXAvbWFya2V0cy9jb21wYW55LXN0b2NrL3N0b3J5L2Nhbi1tYXJ1dGktc3V6dWtpLWluZGlhLXNoYXJlcy1kcml2ZS1wYXN0LXJzLTEwMDAwLW1hcmstaGVyZXMtd2hhdC1icm9rZXJhZ2VzLXNheS0zNzk1MjQtMjAyMy0wNS0wMQ?oc=5,0.09,Positive,True
2023-05-16,Maruti Suzuki WagonR becomes India’s best-selling car for 2 years in a row - Business Today,https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2F1dG8vc3RvcnkvbWFydXRpLXN1enVraS13YWdvbnItYmVjb21lcy1pbmRpYXMtYmVzdC1zZWxsaW5nLWNhci1mb3ItMi15ZWFycy1pbi1hLXJvdy0zODE0ODQtMjAyMy0wNS0xNtIBhwFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2FtcC9hdXRvL3N0b3J5L21hcnV0aS1zdXp1a2ktd2Fnb25yLWJlY29tZXMtaW5kaWFzLWJlc3Qtc2VsbGluZy1jYXItZm9yLTIteWVhcnMtaW4tYS1yb3ctMzgxNDg0LTIwMjMtMDUtMTY?oc=5,0.23,Positive,False
