date,title,link,sentiment,sentiment_type,relevant
2023-05-08,"Britannia Industries, Nestle India, ITC touch 52-week high on Monday's trade ; check details | Mint - Mint",https://news.google.com/rss/articles/CBMinQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2JyaXRhbm5pYS1pbmR1c3RyaWVzLW5lc3RsZS1pbmRpYS1pdGMtdG91Y2gtNTItd2Vlay1oaWdoLW9uLW1vbmRheXMtdHJhZGUtY2hlY2stZGV0YWlscy0xMTY4MzUxODM1MDE0Mi5odG1s0gGhAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvc3RvY2stbWFya2V0LW5ld3MvYnJpdGFubmlhLWluZHVzdHJpZXMtbmVzdGxlLWluZGlhLWl0Yy10b3VjaC01Mi13ZWVrLWhpZ2gtb24tbW9uZGF5cy10cmFkZS1jaGVjay1kZXRhaWxzL2FtcC0xMTY4MzUxODM1MDE0Mi5odG1s?oc=5,0.15,Positive,True
2023-05-17,Nestle India underperforms Wednesday when compared to competitors - MarketWatch,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9uZXN0bGUtaW5kaWEtdW5kZXJwZXJmb3Jtcy13ZWRuZXNkYXktd2hlbi1jb21wYXJlZC10by1jb21wZXRpdG9ycy1iMjU2M2U4MS01ZjY5MjI5YzE5ODPSAYEBaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9kYXRhLW5ld3MvbmVzdGxlLWluZGlhLXVuZGVycGVyZm9ybXMtd2VkbmVzZGF5LXdoZW4tY29tcGFyZWQtdG8tY29tcGV0aXRvcnMtYjI1NjNlODEtNWY2OTIyOWMxOTgz?oc=5,0.21,Positive,True
2023-04-25,"Nestle India Q1 Net Profit Up 24.7% To Rs 736.64 Crore, Net Sales ... - Outlook India",https://news.google.com/rss/articles/CBMilwFodHRwczovL3d3dy5vdXRsb29raW5kaWEuY29tL2J1c2luZXNzL25lc3RsZS1pbmRpYS1xMS1uZXQtcHJvZml0LXVwLTI0LTctcGVyLWNlbnQtdG8tcnMtNzM2LTY0LWNyb3JlLW5ldC1zYWxlcy11cC0yMC0zLXRvLXJzLTQtODA4LTQwLWNyb3JlLW5ld3MtMjgxMTIx0gEA?oc=5,0.0,Neutral,False
2023-04-29,"Not just Ching’s, Nestle India has many more targets in sight | Mint - Mint",https://news.google.com/rss/articles/CBMirgFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL3Blb3BsZS9uZXN0bGUtaW5kaWEtZXllcy1hY3F1aXNpdGlvbnMtaW5jbHVkaW5nLWNhcGl0YWwtZm9vZHMtc2F5cy10b3AtZXhlY3V0aXZlLWFtaWQtaG90LW0tYS1tYXJrZXQtZm9yLWNvbnN1bWVyLWdvb2RzLTExNjgyNzA1MDMwMjg5Lmh0bWzSAbIBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2NvbXBhbmllcy9wZW9wbGUvbmVzdGxlLWluZGlhLWV5ZXMtYWNxdWlzaXRpb25zLWluY2x1ZGluZy1jYXBpdGFsLWZvb2RzLXNheXMtdG9wLWV4ZWN1dGl2ZS1hbWlkLWhvdC1tLWEtbWFya2V0LWZvci1jb25zdW1lci1nb29kcy9hbXAtMTE2ODI3MDUwMzAyODkuaHRtbA?oc=5,0.08,Positive,True
2023-04-27,"Hold Nestle India, target price Rs 23000: ICICI Direct - The Economic Times",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9yZWNvcy9ob2xkLW5lc3RsZS1pbmRpYS10YXJnZXQtcHJpY2UtcnMtMjMwMDAtaWNpY2ktZGlyZWN0L2FydGljbGVzaG93Lzk5ODA2NTY1LmNtc9IBggFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvcmVjb3MvaG9sZC1uZXN0bGUtaW5kaWEtdGFyZ2V0LXByaWNlLXJzLTIzMDAwLWljaWNpLWRpcmVjdC9hbXBfYXJ0aWNsZXNob3cvOTk4MDY1NjUuY21z?oc=5,0.25,Positive,False
