date,title,link,sentiment,sentiment_type,relevant
2023-05-18,Hindustan Unilever underperforms Thursday when compared to competitors - MarketWatch,https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9oaW5kdXN0YW4tdW5pbGV2ZXItdW5kZXJwZXJmb3Jtcy10aHVyc2RheS13aGVuLWNvbXBhcmVkLXRvLWNvbXBldGl0b3JzLTUwZGI2Nzg2LTY3NWIwMjU3MjJlNdIBhgFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL2RhdGEtbmV3cy9oaW5kdXN0YW4tdW5pbGV2ZXItdW5kZXJwZXJmb3Jtcy10aHVyc2RheS13aGVuLWNvbXBhcmVkLXRvLWNvbXBldGl0b3JzLTUwZGI2Nzg2LTY3NWIwMjU3MjJlNQ?oc=5,0.22,Positive,True
2023-04-25,"HIndustan Unilever Q4 results preview: Net profit likely to rise 9%, margin may shrink by 100 bps - Zee Business",https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy56ZWViaXouY29tL21hcmtldHMvc3RvY2tzL25ld3MtaGluZHVzdGFuLXVuaWxldmVyLWh1bC1xNC1yZXN1bHRzLXByb2ZpdC1yZXZlbnVlLXZvbHVtZS1ncm93dGgtbWFyZ2luLWRpdmlkZW5kLXNoYXJlLXByaWNlLWJzZS1uc2UtMjMyMjM10gGYAWh0dHBzOi8vd3d3LnplZWJpei5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy1oaW5kdXN0YW4tdW5pbGV2ZXItaHVsLXE0LXJlc3VsdHMtcHJvZml0LXJldmVudWUtdm9sdW1lLWdyb3d0aC1tYXJnaW4tZGl2aWRlbmQtc2hhcmUtcHJpY2UtYnNlLW5zZS0yMzIyMzUvYW1w?oc=5,0.04,Positive,True
2023-04-27,"HUL Q4 Results: Profit In Line With Estimates, Margins Still Under Pressure - BQ Prime",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5icXByaW1lLmNvbS9xdWFydGVybHktZWFybmluZ3MvaHVsLWhpbmR1c3Rhbi11bmlsZXZlci1xNC1yZXN1bHRzLXByb2ZpdC1pbi1saW5lLXdpdGgtZXN0aW1hdGVzLW1hcmdpbnMtc3RpbGwtdW5kZXItcHJlc3N1cmXSAYsBaHR0cHM6Ly93d3cuYnFwcmltZS5jb20vYW1wL3F1YXJ0ZXJseS1lYXJuaW5ncy9odWwtaGluZHVzdGFuLXVuaWxldmVyLXE0LXJlc3VsdHMtcHJvZml0LWluLWxpbmUtd2l0aC1lc3RpbWF0ZXMtbWFyZ2lucy1zdGlsbC11bmRlci1wcmVzc3VyZQ?oc=5,0.06,Positive,True
2023-04-28,HUL earnings show rural demand strain | Mint - Mint,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvY29tcGFueS1yZXN1bHRzL2h1bC1lYXJuaW5ncy1zaG93LXJ1cmFsLWRlbWFuZC1zdHJhaW4tMTE2ODI2MTgxOTYwOTkuaHRtbNIBcGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvY29tcGFueS1yZXN1bHRzL2h1bC1lYXJuaW5ncy1zaG93LXJ1cmFsLWRlbWFuZC1zdHJhaW4vYW1wLTExNjgyNjE4MTk2MDk5Lmh0bWw?oc=5,0.01,Positive,True
2023-05-02,"Volume to drive HUL growth; no price war: Sanjiv Mehta, MD, Hindustan Unilever - Economic Times",https://news.google.com/rss/articles/CBMipAFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vaW5kdXN0cnkvY29ucy1wcm9kdWN0cy9mbWNnL3ZvbHVtZS10by1kcml2ZS1odWwtZ3Jvd3RoLW5vLXByaWNlLXdhci1zYW5qaXYtbWVodGEtbWQtaGluZHVzdGFuLXVuaWxldmVyL2FydGljbGVzaG93Lzk5OTE5MzQ2LmNtc9IBnwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vaW5kdXN0cnkvY29ucy1wcm9kdWN0cy9mbWNnL3ZvbHVtZS10by1kcml2ZS1odWwtZ3Jvd3RoLW5vLXByaWNlLXdhci1zYW5qaXYtbWVodGEtbWQtaGluZHVzdGFuLXVuaWxldmVyL2FtcF9hcnRpY2xlc2hvdy85OTkxOTM0Ni5jbXM?oc=5,0.31,Positive,False
