date,title,link,sentiment,sentiment_type,relevant
2023-05-18,"Bajaj Finance rises Thursday, outperforms market - MarketWatch",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9iYWphai1maW5hbmNlLXJpc2VzLXRodXJzZGF5LW91dHBlcmZvcm1zLW1hcmtldC03ZTdkZDQ4OS1lOWE4MzlhNzAzODTSAW9odHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL2RhdGEtbmV3cy9iYWphai1maW5hbmNlLXJpc2VzLXRodXJzZGF5LW91dHBlcmZvcm1zLW1hcmtldC03ZTdkZDQ4OS1lOWE4MzlhNzAzODQ?oc=5,0.2,Positive,True
2023-05-17,"Infosys, Reliance Industries, NTPC, Bajaj Finance shares: MFs upped stakes in these stocks in April - Business Today",https://news.google.com/rss/articles/CBMiowFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL21hcmtldHMvc3RvY2tzL3N0b3J5L2luZm9zeXMtcmVsaWFuY2UtaW5kdXN0cmllcy1udHBjLWJhamFqLWZpbmFuY2Utc2hhcmVzLW1mcy11cHBlZC1zdGFrZXMtaW4tdGhlc2Utc3RvY2tzLWluLWFwcmlsLTM4MTU3Mi0yMDIzLTA1LTE30gGnAWh0dHBzOi8vd3d3LmJ1c2luZXNzdG9kYXkuaW4vYW1wL21hcmtldHMvc3RvY2tzL3N0b3J5L2luZm9zeXMtcmVsaWFuY2UtaW5kdXN0cmllcy1udHBjLWJhamFqLWZpbmFuY2Utc2hhcmVzLW1mcy11cHBlZC1zdGFrZXMtaW4tdGhlc2Utc3RvY2tzLWluLWFwcmlsLTM4MTU3Mi0yMDIzLTA1LTE3?oc=5,0.1,Positive,True
2023-05-10,"Bajaj Finance hikes FD rates by 40 bps, senior citizens earn as high as 8.6%; check new interest rates here | Mint - Mint",https://news.google.com/rss/articles/CBMirAFodHRwczovL3d3dy5saXZlbWludC5jb20vbW9uZXkvcGVyc29uYWwtZmluYW5jZS9iYWphai1maW5hbmNlLWhpa2VzLWZkLXJhdGVzLWJ5LTQwLWJwcy1zZW5pb3ItY2l0aXplbnMtZWFybi1hcy1oaWdoLWFzLTgtNi1jaGVjay1uZXctaW50ZXJlc3QtcmF0ZXMtaGVyZS0xMTY4Mzc0MDE3NzQ3OS5odG1s0gGwAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tb25leS9wZXJzb25hbC1maW5hbmNlL2JhamFqLWZpbmFuY2UtaGlrZXMtZmQtcmF0ZXMtYnktNDAtYnBzLXNlbmlvci1jaXRpemVucy1lYXJuLWFzLWhpZ2gtYXMtOC02LWNoZWNrLW5ldy1pbnRlcmVzdC1yYXRlcy1oZXJlL2FtcC0xMTY4Mzc0MDE3NzQ3OS5odG1s?oc=5,0.18,Positive,True
2023-04-27,"Stocks to Watch: Bajaj Finance, Voltas, RVNL, HDFC Life, Infosys, LTTS | Mint - Mint",https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3N0b2Nrcy10by13YXRjaC1iYWphai1maW5hbmNlLXZvbHRhcy1ydm5sLWhkZmMtbGlmZS1pbmZvc3lzLWx0dHMtMTE2ODI1NTQwODcxMDAuaHRtbNIBigFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3N0b2Nrcy10by13YXRjaC1iYWphai1maW5hbmNlLXZvbHRhcy1ydm5sLWhkZmMtbGlmZS1pbmZvc3lzLWx0dHMvYW1wLTExNjgyNTU0MDg3MTAwLmh0bWw?oc=5,0.06,Positive,True
2023-04-27,Bajaj Finance top Nifty 50 gainers on Thursday on positive Q4FY23 results | Mint - Mint,https://news.google.com/rss/articles/CBMijwFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2JhamFqLWZpbmFuY2UtdG9wLW5pZnR5LTUwLWdhaW5lcnMtb24tdGh1cnNkYXktb24tcG9zaXRpdmUtcTRmeTIzLXJlc3VsdHMtMTE2ODI1Njk5MDc4MzEuaHRtbNIBkwFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2JhamFqLWZpbmFuY2UtdG9wLW5pZnR5LTUwLWdhaW5lcnMtb24tdGh1cnNkYXktb24tcG9zaXRpdmUtcTRmeTIzLXJlc3VsdHMvYW1wLTExNjgyNTY5OTA3ODMxLmh0bWw?oc=5,0.19,Positive,True
