date,title,link,sentiment,sentiment_type,relevant
2023-05-17,"Bank of Baroda 'well protected' for switch to RBI's new loan-loss proposal, says CEO Chadha - Economic Times",https://news.google.com/rss/articles/CBMitwFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vaW5kdXN0cnkvYmFua2luZy9maW5hbmNlL2JhbmtpbmcvYmFuay1vZi1iYXJvZGEtd2VsbC1wcm90ZWN0ZWQtZm9yLXN3aXRjaC10by1yYmlzLW5ldy1sb2FuLWxvc3MtcHJvcG9zYWwtc2F5cy1jZW8tY2hhZGhhL2FydGljbGVzaG93LzEwMDI5Nzc0Ny5jbXPSAbIBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL2luZHVzdHJ5L2JhbmtpbmcvZmluYW5jZS9iYW5raW5nL2Jhbmstb2YtYmFyb2RhLXdlbGwtcHJvdGVjdGVkLWZvci1zd2l0Y2gtdG8tcmJpcy1uZXctbG9hbi1sb3NzLXByb3Bvc2FsLXNheXMtY2VvLWNoYWRoYS9hbXBfYXJ0aWNsZXNob3cvMTAwMjk3NzQ3LmNtcw?oc=5,0.37,Positive,True
2023-05-17,"Buy Bank of Baroda, target price Rs 230: Emkay - The Economic Times",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9yZWNvcy9idXktYmFuay1vZi1iYXJvZGEtdGFyZ2V0LXByaWNlLXJzLTIzMC1lbWtheW5ic3AvYXJ0aWNsZXNob3cvMTAwMjk3ODU4LmNtc9IBf2h0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9yZWNvcy9idXktYmFuay1vZi1iYXJvZGEtdGFyZ2V0LXByaWNlLXJzLTIzMC1lbWtheW5ic3AvYW1wX2FydGljbGVzaG93LzEwMDI5Nzg1OC5jbXM?oc=5,0.31,Positive,True
2023-05-17,Buy Bank of Baroda; target of Rs 240: Motilal Oswal - Moneycontrol,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9zdG9ja3MvYnV5LWJhbmstb2YtYmFyb2RhLXRhcmdldC1vZi1ycy0yNDAtbW90aWxhbC1vc3dhbC0xMDYwNjc4MS5odG1s0gF1aHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL3N0b2Nrcy9idXktYmFuay1vZi1iYXJvZGEtdGFyZ2V0LW9mLXJzLTI0MC1tb3RpbGFsLW9zd2FsLTEwNjA2NzgxLmh0bWwvYW1w?oc=5,0.26,Positive,True
2023-05-16,"Bank of Baroda Q4 results: March quarter profit zooms 168% to Rs 4,775 crore; PSB announces Rs 5.5 dividend - Business Today",https://news.google.com/rss/articles/CBMisAFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL21hcmtldHMvY29tcGFueS1zdG9jay9zdG9yeS9iYW5rLW9mLWJhcm9kYS1xNC1yZXN1bHRzLW1hcmNoLXF1YXJ0ZXItcHJvZml0LXpvb21zLTE2OC10by1ycy00Nzc1LWNyb3JlLWNvLWFubm91bmNlcy1ycy01NS1kaXZpZGVuZC0zODE0ODUtMjAyMy0wNS0xNtIBtAFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2FtcC9tYXJrZXRzL2NvbXBhbnktc3RvY2svc3RvcnkvYmFuay1vZi1iYXJvZGEtcTQtcmVzdWx0cy1tYXJjaC1xdWFydGVyLXByb2ZpdC16b29tcy0xNjgtdG8tcnMtNDc3NS1jcm9yZS1jby1hbm5vdW5jZXMtcnMtNTUtZGl2aWRlbmQtMzgxNDg1LTIwMjMtMDUtMTY?oc=5,0.04,Positive,True
2023-05-17,Buy Bank of Baroda; target of Rs 235: Prabhudas Lilladher - Moneycontrol,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9zdG9ja3MvYnV5LWJhbmstb2YtYmFyb2RhLXRhcmdldC1vZi1ycy0yMzUtcHJhYmh1ZGFzLWxpbGxhZGhlci0xMDYwNjMxMS5odG1s0gF7aHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL3N0b2Nrcy9idXktYmFuay1vZi1iYXJvZGEtdGFyZ2V0LW9mLXJzLTIzNS1wcmFiaHVkYXMtbGlsbGFkaGVyLTEwNjA2MzExLmh0bWwvYW1w?oc=5,0.23,Positive,True
